순번,종류,파일명,블록,블록제목,비트,장소,컷,조명,초,프롬프트
43,이미지,4블-b4-k1.png,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b4,조선 조선소 작업장,k1/2,C,20,"Joseon shipyard workshop with pine timber stacks and carpenter tools, tight close-up, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
43,영상,4블-b4-v1.mp4,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b4,조선 조선소 작업장,k1→k2,C,20,"Locked-off camera with no movement at all, only the subject moves. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
44,이미지,4블-b4-k2.png,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b4,조선 조선소 작업장,k2/2,C,20,"the same scene from the same camera height, closest framing of this beat, tight close-up, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
45,이미지,5블-b1-k1.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b1,한산도 앞바다 해협,k1/5,A,20,"Strait off Hansan Island, open sea battlefield with distant cliffs, dawn mist, extreme wide establishing shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
45,영상,5블-b1-v1.mp4,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b1,한산도 앞바다 해협,k1→k2,A,20,"Very slow forward dolly at constant camera height. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
46,이미지,5블-b1-k2.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b1,한산도 앞바다 해협,k2/5,A,20,"the same scene from the same camera height, progressively closer (2 of 5), extreme wide establishing shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
46,영상,5블-b1-v2.mp4,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b1,한산도 앞바다 해협,k2→k3,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
47,이미지,5블-b1-k3.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b1,한산도 앞바다 해협,k3/5,A,20,"the same scene from the same camera height, progressively closer (3 of 5), extreme wide establishing shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
47,영상,5블-b1-v3.mp4,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b1,한산도 앞바다 해협,k3→k4,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
48,이미지,5블-b1-k4.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b1,한산도 앞바다 해협,k4/5,A,20,"the same scene from the same camera height, progressively closer (4 of 5), extreme wide establishing shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
48,영상,5블-b1-v4.mp4,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b1,한산도 앞바다 해협,k4→k5,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
49,이미지,5블-b1-k5.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b1,한산도 앞바다 해협,k5/5,A,20,"the same scene from the same camera height, closest framing of this beat, extreme wide establishing shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
50,이미지,5블-b2-k1.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b2,여수 수군 진영,k1/5,A,20,"Yeosu naval garrison camp with wooden command platform and banners, wide shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
50,영상,5블-b2-v1.mp4,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b2,여수 수군 진영,k1→k2,A,20,"Slow crane up at constant speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
51,이미지,5블-b2-k2.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b2,여수 수군 진영,k2/5,A,20,"the same scene from the same camera height, progressively closer (2 of 5), wide shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
51,영상,5블-b2-v2.mp4,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b2,여수 수군 진영,k2→k3,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
52,이미지,5블-b2-k3.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b2,여수 수군 진영,k3/5,A,20,"the same scene from the same camera height, progressively closer (3 of 5), wide shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
52,영상,5블-b2-v3.mp4,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b2,여수 수군 진영,k3→k4,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
53,이미지,5블-b2-k4.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b2,여수 수군 진영,k4/5,A,20,"the same scene from the same camera height, progressively closer (4 of 5), wide shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
53,영상,5블-b2-v4.mp4,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b2,여수 수군 진영,k4→k5,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
54,이미지,5블-b2-k5.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b2,여수 수군 진영,k5/5,A,20,"the same scene from the same camera height, closest framing of this beat, wide shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
55,이미지,5블-b3-k1.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b3,거북선 갑판 내부,k1/5,A,20,"Interior deck of turtle ship, cramped wooden beams, oar benches, dim lantern light, medium shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
55,영상,5블-b3-v1.mp4,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b3,거북선 갑판 내부,k1→k2,A,20,"Slow lateral tracking move to the right. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
56,이미지,5블-b3-k2.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b3,거북선 갑판 내부,k2/5,A,20,"the same scene from the same camera height, progressively closer (2 of 5), medium shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
56,영상,5블-b3-v2.mp4,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b3,거북선 갑판 내부,k2→k3,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
57,이미지,5블-b3-k3.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b3,거북선 갑판 내부,k3/5,A,20,"the same scene from the same camera height, progressively closer (3 of 5), medium shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
57,영상,5블-b3-v3.mp4,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b3,거북선 갑판 내부,k3→k4,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
58,이미지,5블-b3-k4.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b3,거북선 갑판 내부,k4/5,A,20,"the same scene from the same camera height, progressively closer (4 of 5), medium shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
58,영상,5블-b3-v4.mp4,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b3,거북선 갑판 내부,k4→k5,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
59,이미지,5블-b3-k5.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b3,거북선 갑판 내부,k5/5,A,20,"the same scene from the same camera height, closest framing of this beat, medium shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
60,이미지,5블-b4-k1.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b4,조선 조선소 작업장,k1/4,A,20,"Joseon shipyard workshop with pine timber stacks and carpenter tools, tight close-up, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
60,영상,5블-b4-v1.mp4,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b4,조선 조선소 작업장,k1→k2,A,20,"Locked-off camera with no movement at all, only the subject moves. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
61,이미지,5블-b4-k2.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b4,조선 조선소 작업장,k2/4,A,20,"the same scene from the same camera height, progressively closer (2 of 4), tight close-up, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
61,영상,5블-b4-v2.mp4,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b4,조선 조선소 작업장,k2→k3,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
62,이미지,5블-b4-k3.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b4,조선 조선소 작업장,k3/4,A,20,"the same scene from the same camera height, progressively closer (3 of 4), tight close-up, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
62,영상,5블-b4-v3.mp4,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b4,조선 조선소 작업장,k3→k4,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
63,이미지,5블-b4-k4.png,5,쇠못 함정에 걸려 추락하는 왜군 백병전 재현,b4,조선 조선소 작업장,k4/4,A,20,"the same scene from the same camera height, closest framing of this beat, tight close-up, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
64,이미지,6블-b1-k1.png,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b1,한산도 앞바다 해협,k1/3,C,19,"Strait off Hansan Island, open sea battlefield with distant cliffs, dawn mist, extreme wide establishing shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
64,영상,6블-b1-v1.mp4,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b1,한산도 앞바다 해협,k1→k2,C,19,"Very slow forward dolly at constant camera height. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
65,이미지,6블-b1-k2.png,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b1,한산도 앞바다 해협,k2/3,C,19,"the same scene from the same camera height, progressively closer (2 of 3), extreme wide establishing shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
65,영상,6블-b1-v2.mp4,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b1,한산도 앞바다 해협,k2→k3,C,19,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
66,이미지,6블-b1-k3.png,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b1,한산도 앞바다 해협,k3/3,C,19,"the same scene from the same camera height, closest framing of this beat, extreme wide establishing shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
67,이미지,6블-b2-k1.png,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b2,여수 수군 진영,k1/3,C,19,"Yeosu naval garrison camp with wooden command platform and banners, wide shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
67,영상,6블-b2-v1.mp4,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b2,여수 수군 진영,k1→k2,C,19,"Slow crane up at constant speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
68,이미지,6블-b2-k2.png,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b2,여수 수군 진영,k2/3,C,19,"the same scene from the same camera height, progressively closer (2 of 3), wide shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
68,영상,6블-b2-v2.mp4,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b2,여수 수군 진영,k2→k3,C,19,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
69,이미지,6블-b2-k3.png,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b2,여수 수군 진영,k3/3,C,19,"the same scene from the same camera height, closest framing of this beat, wide shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
70,이미지,6블-b3-k1.png,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b3,거북선 갑판 내부,k1/3,C,19,"Interior deck of turtle ship, cramped wooden beams, oar benches, dim lantern light, medium shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
70,영상,6블-b3-v1.mp4,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b3,거북선 갑판 내부,k1→k2,C,19,"Slow lateral tracking move to the right. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
71,이미지,6블-b3-k2.png,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b3,거북선 갑판 내부,k2/3,C,19,"the same scene from the same camera height, progressively closer (2 of 3), medium shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
71,영상,6블-b3-v2.mp4,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b3,거북선 갑판 내부,k2→k3,C,19,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
72,이미지,6블-b3-k3.png,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b3,거북선 갑판 내부,k3/3,C,19,"the same scene from the same camera height, closest framing of this beat, medium shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
73,이미지,6블-b4-k1.png,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b4,조선 조선소 작업장,k1/2,C,19,"Joseon shipyard workshop with pine timber stacks and carpenter tools, tight close-up, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
73,영상,6블-b4-v1.mp4,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b4,조선 조선소 작업장,k1→k2,C,19,"Locked-off camera with no movement at all, only the subject moves. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
74,이미지,6블-b4-k2.png,6,철갑 대신 기동성을 택한 조선공학 설계 비교 도해,b4,조선 조선소 작업장,k2/2,C,19,"the same scene from the same camera height, closest framing of this beat, tight close-up, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
75,이미지,7블-b1-k1.png,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b1,한산도 앞바다 해협,k1/4,C,20,"Strait off Hansan Island, open sea battlefield with distant cliffs, dawn mist, extreme wide establishing shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
75,영상,7블-b1-v1.mp4,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b1,한산도 앞바다 해협,k1→k2,C,20,"Very slow forward dolly at constant camera height. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
76,이미지,7블-b1-k2.png,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b1,한산도 앞바다 해협,k2/4,C,20,"the same scene from the same camera height, progressively closer (2 of 4), extreme wide establishing shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
76,영상,7블-b1-v2.mp4,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b1,한산도 앞바다 해협,k2→k3,C,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
77,이미지,7블-b1-k3.png,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b1,한산도 앞바다 해협,k3/4,C,20,"the same scene from the same camera height, progressively closer (3 of 4), extreme wide establishing shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
77,영상,7블-b1-v3.mp4,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b1,한산도 앞바다 해협,k3→k4,C,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
78,이미지,7블-b1-k4.png,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b1,한산도 앞바다 해협,k4/4,C,20,"the same scene from the same camera height, closest framing of this beat, extreme wide establishing shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
79,이미지,7블-b2-k1.png,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b2,여수 수군 진영,k1/4,C,20,"Yeosu naval garrison camp with wooden command platform and banners, wide shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
79,영상,7블-b2-v1.mp4,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b2,여수 수군 진영,k1→k2,C,20,"Slow crane up at constant speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
80,이미지,7블-b2-k2.png,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b2,여수 수군 진영,k2/4,C,20,"the same scene from the same camera height, progressively closer (2 of 4), wide shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
80,영상,7블-b2-v2.mp4,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b2,여수 수군 진영,k2→k3,C,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
81,이미지,7블-b2-k3.png,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b2,여수 수군 진영,k3/4,C,20,"the same scene from the same camera height, progressively closer (3 of 4), wide shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
81,영상,7블-b2-v3.mp4,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b2,여수 수군 진영,k3→k4,C,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
82,이미지,7블-b2-k4.png,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b2,여수 수군 진영,k4/4,C,20,"the same scene from the same camera height, closest framing of this beat, wide shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
83,이미지,7블-b3-k1.png,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b3,거북선 갑판 내부,k1/4,C,20,"Interior deck of turtle ship, cramped wooden beams, oar benches, dim lantern light, medium shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
83,영상,7블-b3-v1.mp4,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b3,거북선 갑판 내부,k1→k2,C,20,"Slow lateral tracking move to the right. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
84,이미지,7블-b3-k2.png,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b3,거북선 갑판 내부,k2/4,C,20,"the same scene from the same camera height, progressively closer (2 of 4), medium shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
84,영상,7블-b3-v2.mp4,7,용머리 연막탄과 황자총통 발사 매커니즘 도해,b3,거북선 갑판 내부,k2→k3,C,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
